# 07_KPI Register (45 rows)
Template 3 — KPI Definition Register |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Defines the governed KPI once. Periodic actuals are captured separately so historical reporting remains stable. |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Section / Sub-Entity | Field ID | Field Label | Technical Name | Definition & Business Use | Data Type | Length / Format | Required | Conditional / Visibility Rule | Default / Source | Editable By | Validation / Allowed Values | System / Calculation Rule | Key Mapping / Downstream Use | Classification
Thresholds | KPI-025 | Red Threshold | red_threshold | Boundary/range for Red status. | Decimal/Range | Per KPI | Yes | Strategic route | Manual | Strategy & Governance | Consistent with polarity | RAG calculation. | BSC | Internal
Scoring | KPI-026 | KPI Weight | kpi_weight_pct | Weight of KPI within its objective. | Percentage | 0.00% | Yes | Strategic route | Manual | Strategy & Governance | >0 and <=100%; sibling total = 100% | Weighted objective score. | BSC | Internal
Scoring | KPI-027 | Score Cap | score_cap_pct | Maximum achievement credited in scoring. | Percentage | 0–200% | Yes | Strategic route | 100% | Strategy & Governance | >=100% and <=200% | Prevents one KPI masking underperformance elsewhere. | BSC | Internal
Scoring | KPI-028 | Binary Success Value | binary_success_value | Value interpreted as achieved for binary KPIs. | Text/Boolean | Configured | Conditional | Performance polarity = Binary | Manual | Strategy & Governance | Explicit true/success representation | Maps actual to 0% or 100% achievement. | BSC | Internal
Frequency | KPI-029 | Data Collection Frequency | collection_frequency | Frequency at which source data is captured. | Enum | Daily; Weekly; Monthly; Quarterly; Semi-annual; Annual | Yes | Strategic route | Manual | Data Steward | Configured list | Integration/collection schedule. | KPI updates | Internal
Frequency | KPI-030 | Reporting Frequency | reporting_frequency | Frequency at which the KPI is reported. | Enum | Monthly; Quarterly; Semi-annual; Annual | Yes | Strategic route | Manual | Strategy & Governance | Not more frequent than viable collection unless justified | Generates update periods. | BSC | Internal
Ownership | KPI-031 | KPI Owner | kpi_owner_user_id | Accountable business owner for the result. | User Reference | Directory ID | Yes | Strategic route | Objective owner default | Strategy & Governance | Active user | Receives performance escalation. | Workflow | Confidential
Ownership | KPI-032 | Data Steward | data_steward_user_id | Responsible for data definition, collection and quality. | User Reference | Directory ID | Yes | Strategic route | Manual | Strategy & Governance/Data Governance | Active user | Submits/validates source data per segregation rule. | KPI update | Confidential
Ownership | KPI-033 | Data Validator | data_validator_user_id | Independent validator of reported values. | User Reference | Directory ID | Yes | Strategic route | Manual | Strategy & Governance | Cannot equal submitter when segregation required | Approves KPI update. | KPI update | Confidential
Data | KPI-034 | Source System | kpi_source_system | Authoritative source system/report. | Reference/Text | Configured source | Yes | Strategic route | Manual | Data Steward | Active source; system owner required | Supports automated/manual ingestion. | Integration | Confidential
Data | KPI-035 | Source Dataset / Report | source_dataset | Dataset, report, table or file name. | Text | 500 chars | Yes | Strategic route | Manual | Data Steward | Must be accessible to steward/validator | Lineage and audit. | Sources | Confidential
Data | KPI-036 | Source Field Mapping | source_field_mapping | Technical mapping of source columns and filters. | Long Text | 2,000 chars | Conditional | Required for automated KPI | Manual | Data Steward/Integration Admin | Fields, filters and join keys required | Executable integration specification. | Integration | Restricted
Data | KPI-037 | Collection Method | collection_method | How KPI data enters the platform. | Enum | API; Database; File Upload; Manual Entry; Calculated | Yes | Strategic route | Manual | Data Steward | Configured list | Controls validation and evidence requirements. | Integration | Internal
Data | KPI-038 | Data Quality Rules | data_quality_rules | Completeness, accuracy, timeliness and validity checks. | Repeatable Rule | Rule + threshold | Yes | Strategic route | Manual | Data Steward | At least one rule or approved exemption | Failed critical rules block validation. | KPI update | Confidential
Data | KPI-039 | Submission Due Offset | submission_due_offset_days | Days after period end by which data must be submitted. | Integer | 0–90 days | Yes | Strategic route | Manual | Strategy & Governance | Non-negative | Generates due date and reminders. | Workflow | Internal
Data | KPI-040 | Validation Due Offset | validation_due_offset_days | Days after submission due date for validation. | Integer | 0–30 days | Yes | Strategic route | Manual | Strategy & Governance | Non-negative | Generates validation SLA. | Workflow | Internal
Governance | KPI-041 | Definition Effective Date | definition_effective_date | Date from which the definition/target version applies. | Date | yyyy-mm-dd | Yes | Strategic route | Strategy effective date | Strategy & Governance | Within strategy horizon | Historical updates retain their applicable KPI version. | Audit | Internal
Governance | KPI-042 | Definition Change Reason | definition_change_reason | Reason for changing a previously approved KPI definition. | Long Text | 1,000 chars | Conditional | Version >1 | Manual | Strategy & Governance | Mandatory with impact assessment | Triggers reapproval and identifies affected history. | Audit | Confidential
