# 04_Shared Fields (32 rows)
Shared Fields Inherited by Every Business Entity |  |  |  |  |  |  |  |  |  |  |  |  |  | 
These control fields are not repeated on every template tab. The application must add them to each entity as applicable. |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Section / Sub-Entity | Field ID | Field Label | Technical Name | Definition & Business Use | Data Type | Length / Format | Required | Conditional / Visibility Rule | Default / Source | Editable By | Validation / Allowed Values | System / Calculation Rule | Key Mapping / Downstream Use | Classification
Ownership | SHR-011 | Owning Business Unit | owning_business_unit_id | Organizational unit accountable for the record. | Reference | Organization directory ID | Yes | All records | User profile/default | Record creator/owner | Active business unit | Drives security and reporting hierarchy. | Row-level security and reporting | Internal
Ownership | SHR-012 | Record Owner | record_owner_user_id | Named accountable owner for completion and accuracy. | User Reference | Directory user ID | Yes | All records | Initiator or assigned | Authorized owner/manager | Active user in allowed role | Receives tasks and overdue notifications. | Workflow and dashboard | Confidential
Ownership | SHR-013 | Delegate / Acting Owner | delegate_user_id | Temporary authorized delegate. | User Reference | Directory user ID | No | When delegation is active | Role/delegation service | Owner/Admin | Active dates and equivalent role required | Actions show both delegate and original owner. | Audit | Confidential
Period | SHR-014 | Fiscal Year | fiscal_year | Primary fiscal year for planning and reporting. | Integer | YYYY | Yes | All planning records | Current/open cycle | Authorized owner | Must be an open planning year | Controls period filters and ID components where applicable. | Budget and Power BI | Internal
Version | SHR-015 | Version Number | version_number | Sequential version of the business record. | Integer | 1..n | Yes | All versioned records | 1 | System only | >=1; increments on resubmission/change | Approved version remains immutable; revision creates new version. | Audit and approval | Internal
Version | SHR-016 | Version Status | version_status | Lifecycle state of the specific version. | Enum | Working; Submitted; Approved Baseline; Superseded; Withdrawn | Yes | Versioned records | Working | Workflow only | One approved baseline per entity/cycle unless formal revision | Prevents editing approved history. | Audit and reporting | Internal
Audit | SHR-017 | Created By | created_by | User who created the record. | User Reference | Directory user ID | Yes | All records | Authenticated user | System only | Non-null | Set once. | Audit | Confidential
Audit | SHR-018 | Created Date/Time | created_at | Creation timestamp. | DateTime | ISO 8601 UTC | Yes | All records | System clock | System only | Non-null | Stored in UTC; displayed in user timezone. | Audit and cycle time | Internal
Audit | SHR-019 | Last Modified By | modified_by | User or integration that last changed the record. | User/Service Reference | ID | Yes | All records | System | System only | Non-null | Updated on committed change. | Audit | Confidential
Audit | SHR-020 | Last Modified Date/Time | modified_at | Most recent committed update timestamp. | DateTime | ISO 8601 UTC | Yes | All records | System clock | System only | >= created_at | Updated automatically. | Audit and freshness | Internal
Submission | SHR-021 | Submitted By | submitted_by | User who submitted the current version. | User Reference | Directory user ID | Conditional | Required after submission | System from action | System only | Submit permission required | Captured with submission event. | Workflow audit | Confidential
Submission | SHR-022 | Submitted Date/Time | submitted_at | Submission timestamp for current version. | DateTime | ISO 8601 UTC | Conditional | Required after submission | System clock | System only | >= modified_at at submission | Starts approval SLA clock. | SLA and audit | Internal
Integration | SHR-023 | Source System | source_system | System in which the record originated. | Enum | Platform; SAP; P+; ServiceNow; Power BI; Other | Yes | All records | Platform | System/Integration Admin | Configured source list | Determines integration ownership. | Integration monitoring | Internal
Integration | SHR-024 | External System Key | external_system_key | Identifier used by an integrated source/target system. | String | 100 chars | Conditional | When an external record exists | Integration | Integration only | Unique within source system where applicable | No user editing. | SAP/P+/ServiceNow linkage | Internal
Integration | SHR-025 | Last Synchronization | last_sync_at | Latest successful integration timestamp. | DateTime | ISO 8601 UTC | No | Integrated records | Integration | System only | Cannot precede creation | Updated only on successful sync. | Freshness indicator | Internal
Governance | SHR-026 | Data Classification | data_classification | Classification under the corporate data-classification scheme. | Enum | Public; Internal; Confidential; Restricted | Yes | All records | Internal | Owner/Data Steward | Must follow corporate policy | Controls access, export and attachment handling. | Security controls | Internal
Governance | SHR-027 | Retention Class | retention_class | Applicable records-retention schedule. | Reference | Policy code | Yes | All records | Entity default | Records Admin | Active retention rule | Approved/audit records cannot be physically deleted before expiry. | Records management | Internal
Governance | SHR-028 | Active Flag | is_active | Indicates whether record is current/usable. | Boolean | True/False | Yes | All records | True | Workflow/Admin | False requires reason | Soft-deactivation only; never removes history. | Filtering | Internal
Governance | SHR-029 | Lock Flag | is_locked | Prevents editing while under approval or after baseline approval. | Boolean | True/False | Yes | Versioned/approved records | False | Workflow only | True during pending approval and for approved versions | New revision required to change locked content. | Workflow integrity | Internal
