# 19_One-Page Report (37 rows)
One-Page Phase Report / Power BI Specification |  |  |  |  |  |  |  |  | 
Required report content, metric definitions, data sources, visuals, filter behavior and refresh/control expectations. |  |  |  |  |  |  |  |  | 
Report Section | Metric / Element | Technical Name | Definition / Calculation | Primary Source | Recommended Visual | Applicability | Drill-through / Filter | Refresh | Control / Display Rule
Budget | Funding Gap SAR | funding_gap_sar | Recommended amount less ceiling | Budget Consolidation | KPI card | Required | Decision detail | Near real-time | Positive gap highlighted Red
Budget | CAPEX / OPEX Mix | capex_opex_mix | Approved/recommended split | Budget Lines | 100% stacked bar | Required | Cost category drill-down | Near real-time | State selected basis
Budget | Strategic / Ad-hoc Mix | strategic_adhoc_mix | Approved/recommended value by route | Budget Lines/Demand | 100% stacked bar | Required | Demand drill-down | Near real-time | Ad-hoc always separate
Procurement | Procurement Item Count / Value | procurement_count_value | Active item count and planned/committed value | Procurement Items | KPI cards | Required | Item table | Near real-time | Distinct current-version items
Procurement | Procurement Stage Distribution | procurement_stage_distribution | Count/value by current stage | Procurement Items | Funnel/stacked bar | Required | Status drill-through | Near real-time | Use canonical stage mapping
Procurement | On-Track / At-Risk / Delayed | procurement_health | Item count/value by health | Procurement Items | Traffic-light cards | Required | Exception table | Near real-time | Worst status prominently shown
Procurement | Commitment vs Approved | commitment_vs_approved | Committed value / approved budget | Procurement + Budget Lines | Bullet/bar | Required | Budget line drill-through | Near real-time | Unauthorized excess shown Red
Procurement | Forecast Schedule Variance | procurement_schedule_variance | Forecast completion minus planned | Procurement Items | Exception table | Required | Item detail | Daily | Top 5 positive variances
Projects | Projects Pending Registration | projects_pending_registration | Ready/Sent/Returned PMO handoffs | Procurement Items | KPI card | Required | PMO queue | Near real-time | Show oldest and owner
Projects | Projects Registered | projects_registered | Distinct registered projects and approved value | Project Registration | KPI card | Required | Project drill-through | Near real-time | Registration Decision = Registered/with Conditions
Controls | Overdue Approvals / Actions | overdue_approvals_actions | Count of overdue approvals, findings and corrective actions | Approval/Comments/Updates | Exception card/table | Required | Action drill-through | Near real-time | Red when >0 blocking overdue item
Controls | Data Quality / Reconciliation | data_quality_status | Status of identifier, budget and performance controls | Control checks | Status strip | Required | Control detail | Per refresh | Report cannot show Published if critical reconciliation fails
Narrative | Executive Narrative | executive_narrative | Top achievements, concerns, decisions and next steps | Strategy & Governance / Commercial & Budgeting | Four compact text blocks | Required | One-page export | Per reporting cycle | Each block length limited; owners and due dates for decisions/actions
