# 05_Strategy (43 rows)
Template 1 — Technology Strategy |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Used only for the strategic entry route. Shared fields and approval/attachment fields apply in addition to these template-specific fields. |  |  |  |  |  |  |  |  |  |  |  |  |  | 
Section / Sub-Entity | Field ID | Field Label | Technical Name | Definition & Business Use | Data Type | Length / Format | Required | Conditional / Visibility Rule | Default / Source | Editable By | Validation / Allowed Values | System / Calculation Rule | Key Mapping / Downstream Use | Classification
Direction | STR-022 | Key Outcomes | key_outcomes | Measurable high-level outcomes expected during the horizon. | Repeatable Text | Outcome statements | Yes | Strategic route | Manual | Strategy & Governance | At least one outcome; measurable wording | Mapped to objectives and KPIs. | BSC | Internal
Scope | STR-023 | In Scope | scope_in | Technology domains, departments, entities, services and geographies covered. | Long Text | 2,000 chars | Yes | Strategic route | Manual | Strategy & Governance | Minimum one scope item | Controls demand alignment. | Demand | Confidential
Scope | STR-024 | Out of Scope | scope_out | Explicit exclusions and boundaries. | Long Text | 2,000 chars | Yes | Strategic route | Manual | Strategy & Governance | Cannot contradict in-scope items | Prevents scope ambiguity. | Demand | Confidential
Scope | STR-025 | Target Beneficiaries | target_beneficiaries | Internal/external groups expected to benefit. | Multi-select + Text | Configured groups | Yes | Strategic route | Manual | Strategy & Governance | At least one group | Benefit and impact analysis. | Demand | Internal
Financial | STR-026 | Indicative Funding Envelope | funding_envelope | Total strategy investment envelope before detailed budget approval. | Currency | Decimal(18,2) | Yes | Strategic route | Manual | Commercial & Budgeting | >=0; currency required | Planning estimate only until CTO budget approval. | Budget ceiling comparison | Confidential
Financial | STR-027 | Currency | currency_code | Currency for the strategy envelope. | Enum | ISO 4217 | Yes | Strategic route | SAR | Commercial & Budgeting | Active currency | Base reporting converts to SAR. | Budget | Internal
Financial | STR-028 | Indicative CAPEX | indicative_capex | Expected capital expenditure component. | Currency | Decimal(18,2) | Yes | Strategic route | Manual | Commercial & Budgeting | >=0 | CAPEX + OPEX should reconcile to envelope, within tolerance. | Budget | Confidential
Financial | STR-029 | Indicative OPEX | indicative_opex | Expected operating expenditure component. | Currency | Decimal(18,2) | Yes | Strategic route | Manual | Commercial & Budgeting | >=0 | CAPEX + OPEX should reconcile to envelope, within tolerance. | Budget | Confidential
Financial | STR-030 | Annual Funding Profile | annual_funding_profile | Indicative funding by fiscal year across the horizon. | Repeatable Currency | FY + amount | Yes | Multi-year strategy | Manual | Commercial & Budgeting | Years within horizon; total reconciles to envelope | Creates initial budget phasing. | Budget | Confidential
Financial | STR-031 | Funding Source | funding_source | Expected source(s) of funding. | Multi-select | Corporate; Department; SPV; External; Other | Yes | Strategic route | Manual | Commercial & Budgeting | Other requires explanation | Budget allocation. | Budget | Confidential
Governance | STR-032 | Strategy Review Frequency | review_frequency | Frequency of formal performance review. | Enum | Monthly; Quarterly; Semi-annual; Annual | Yes | Strategic route | Quarterly | Strategy & Governance | Configured frequency | Generates review calendar. | KPI/BSC | Internal
Governance | STR-033 | Performance Reporting Frequency | performance_reporting_frequency | Frequency for executive strategy reporting. | Enum | Monthly; Quarterly | Yes | Strategic route | Monthly | Strategy & Governance | Cannot be less frequent than approved governance requirement | Power BI reporting schedule. | Reporting | Internal
Governance | STR-034 | Decision Forums | decision_forums | Committees/forums governing performance, budget and priorities. | Repeatable Reference | Forum + cadence + chair | Yes | Strategic route | Manual | Strategy & Governance | At least CTO review forum | Routes escalations and reviews. | Governance | Internal
Governance | STR-035 | Key Assumptions | key_assumptions | Assumptions underpinning outcomes, costs and timelines. | Repeatable Long Text | Assumption records | Yes | Strategic route | Manual | Strategy & Governance | Owner and review date required | Feeds risk and change controls. | Demand and budget | Confidential
Governance | STR-036 | Key Constraints | key_constraints | Known constraints limiting delivery choices. | Repeatable Long Text | Constraint records | Yes | Strategic route | Manual | Strategy & Governance | At least one or explicit None | Demand and project planning. | Demand | Confidential
Governance | STR-037 | Strategic Risks | strategic_risks | Top risks to strategy execution. | Repeatable Risk | Risk details | Yes | Strategic route | Manual | Strategy & Governance | Owner, probability, impact, response required | Executive reporting. | Risk register | Confidential
Readiness | STR-038 | Objective Completeness Check | objectives_complete | Confirms at least one complete objective exists. | Boolean | True/False | Yes | Before CTO submission | System derived | System | True required | True when objective mandatory fields and weights pass. | Submission control | Internal
Readiness | STR-039 | KPI and BSC Completeness Check | scorecard_complete | Confirms objectives have KPIs, targets, weights and scorecard mapping. | Boolean | True/False | Yes | Before CTO submission | System derived | System | True required | False blocks submission with itemized errors. | Submission control | Internal
Approval | STR-040 | Requested Approval Effective Date | requested_effective_date | Requested date for the approved strategy baseline to become effective. | Date | yyyy-mm-dd | Yes | CTO submission | Manual | Strategy & Governance | Within planning horizon | Approval action sets actual effective date. | Workflow and reporting | Internal
